key,peak_memory,increment
0_SVC,2233.36,33.61
0_LR,2202.49,1.12
0_RF,2619.84,418.38
0_ANN,2235.66,23.37
0_CNN1D,2236.3,1.34
0_CNN2D,2236.75,1.54
1_SVC,2266.8,31.57
1_LR,2236.28,1.02
1_RF,2669.91,434.66
1_ANN,2261.18,12.46
1_CNN1D,2261.1,0.94
1_CNN2D,2262.85,1.81
2_SVC,2293.89,32.56
2_LR,2262.36,1.02
2_RF,2630.16,368.82
2_ANN,2262.71,10.02
2_CNN1D,2263.38,1.68
2_CNN2D,2263.85,1.56
3_SVC,2295.41,33.08
3_LR,2263.88,1.02
3_RF,2573.78,310.92
3_ANN,2259.26,8.34
3_CNN1D,2259.85,1.6
3_CNN2D,2260.3,1.52
4_SVC,2291.41,32.63
4_LR,2258.86,0.0
4_RF,2567.7,308.84
4_ANN,2262.98,12.4
4_CNN1D,2263.16,1.18
4_CNN2D,2263.62,1.53
5_SVC,2295.08,32.98
5_LR,2263.55,1.02
5_RF,2634.12,371.59
5_ANN,2258.27,9.27
5_CNN1D,2258.88,1.62
5_CNN2D,2259.53,1.73
6_SVC,2290.74,32.73
6_LR,2259.21,1.02
6_RF,2698.23,440.04
6_ANN,2257.04,10.67
6_CNN1D,2257.2,1.18
6_CNN2D,2258.07,1.95
7_SVC,2289.25,32.7
7_LR,2257.72,1.02
7_RF,2697.06,440.36
7_ANN,2261.05,8.89
7_CNN1D,2261.75,1.71
7_CNN2D,2262.49,1.8
8_SVC,2293.95,32.98
8_LR,2262.42,1.02
8_RF,2699.99,438.59
8_ANN,2220.75,14.2
8_CNN1D,2221.94,2.12
8_CNN2D,2222.61,1.76
9_SVC,2254.07,32.98
9_LR,2222.58,1.06
9_RF,2695.78,474.21
9_ANN,2221.6,15.89
9_CNN1D,2222.14,2.41
9_CNN2D,2222.84,1.77
