key,peak_memory,increment
0_SVC,2514.76,54.25
0_LR,2483.6,0.25
0_RF,2971.35,487.75
0_ANN,2971.32,0.11
0_CNN1D,2498.75,5.61
0_CNN2D,2516.1,20.0
1_SVC,2528.5,28.0
1_LR,2528.5,0.0
1_RF,2982.0,453.5
1_ANN,2982.0,0.0
1_CNN1D,2502.15,8.62
1_CNN2D,2515.12,15.75
2_SVC,2529.82,28.12
2_LR,2529.82,0.0
2_RF,2983.69,453.88
2_ANN,2983.69,0.0
2_CNN1D,2504.17,3.25
2_CNN2D,2521.63,21.36
3_SVC,2532.19,28.0
3_LR,2532.19,0.0
3_RF,2985.81,453.62
3_ANN,2985.81,0.0
3_CNN1D,2505.25,3.75
3_CNN2D,2523.77,20.62
4_SVC,2533.57,27.88
4_LR,2533.57,0.0
4_RF,2987.2,453.62
4_ANN,2987.18,0.0
4_CNN1D,2506.11,2.5
4_CNN2D,2525.08,21.36
5_SVC,2535.47,27.87
5_LR,2535.47,0.0
5_RF,2989.1,453.62
5_ANN,2989.09,0.0
5_CNN1D,2508.07,2.48
5_CNN2D,2522.66,16.5
6_SVC,2542.18,33.12
6_LR,2542.18,0.0
6_RF,2990.43,448.25
6_ANN,2990.29,0.0
6_CNN1D,2510.29,3.75
6_CNN2D,2523.66,15.74
7_SVC,2544.27,33.25
7_LR,2544.27,0.0
7_RF,2992.64,448.38
7_ANN,2992.39,0.0
7_CNN1D,2511.99,3.37
7_CNN2D,2532.33,22.5
8_SVC,2540.83,27.88
8_LR,2540.83,0.0
8_RF,2994.33,453.5
8_ANN,2994.2,0.0
8_CNN1D,2512.88,2.5
8_CNN2D,2530.97,20.25
9_SVC,2541.61,36.0
9_LR,2541.61,0.0
9_RF,2995.11,453.5
9_ANN,2995.21,0.11
9_CNN1D,2517.66,5.5
9_CNN2D,2532.02,19.52
